Access Methods,AU cleanup batches/sec,counter,AccessMethods_AUcleanupbatches_over_sec
Access Methods,AU cleanups/sec,counter,AccessMethods_AUcleanups_over_sec
Access Methods,By-reference Lob Create Count,gauge,AccessMethods_By_referenceLobCreateCount
Access Methods,By-reference Lob Use Count,gauge,AccessMethods_By_referenceLobUseCount
Access Methods,Count Lob Readahead,gauge,AccessMethods_CountLobReadahead
Access Methods,Count Pull In Row,gauge,AccessMethods_CountPullInRow
Access Methods,Count Push Off Row,gauge,AccessMethods_CountPushOffRow
Access Methods,Deferred dropped AUs,gauge,AccessMethods_DeferreddroppedAUs
Access Methods,Deferred Dropped rowsets,gauge,AccessMethods_DeferredDroppedrowsets
Access Methods,Dropped rowset cleanups/sec,counter,AccessMethods_Droppedrowsetcleanups_over_sec
Access Methods,Dropped rowsets skipped/sec,counter,AccessMethods_Droppedrowsetsskipped_over_sec
Access Methods,Extent Deallocations/sec,counter,AccessMethods_ExtentDeallocations_over_sec
Access Methods,Extents Allocated/sec,counter,AccessMethods_ExtentsAllocated_over_sec
Access Methods,Failed AU cleanup batches/sec,counter,AccessMethods_FailedAUcleanupbatches_over_sec
Access Methods,Failed leaf page cookie,gauge,AccessMethods_Failedleafpagecookie
Access Methods,Failed tree page cookie,gauge,AccessMethods_Failedtreepagecookie
Access Methods,Forwarded Records/sec,counter,AccessMethods_ForwardedRecords_over_sec
Access Methods,FreeSpace Page Fetches/sec,counter,AccessMethods_FreeSpacePageFetches_over_sec
Access Methods,FreeSpace Scans/sec,counter,AccessMethods_FreeSpaceScans_over_sec
Access Methods,Full Scans/sec,counter,AccessMethods_FullScans_over_sec
Access Methods,Index Searches/sec,counter,AccessMethods_IndexSearches_over_sec
Access Methods,InSysXact waits/sec,counter,AccessMethods_InSysXactwaits_over_sec
Access Methods,LobHandle Create Count,gauge,AccessMethods_LobHandleCreateCount
Access Methods,LobHandle Destroy Count,gauge,AccessMethods_LobHandleDestroyCount
Access Methods,LobSS Provider Create Count,gauge,AccessMethods_LobSSProviderCreateCount
Access Methods,LobSS Provider Destroy Count,gauge,AccessMethods_LobSSProviderDestroyCount
Access Methods,LobSS Provider Truncation Count,gauge,AccessMethods_LobSSProviderTruncationCount
Access Methods,Mixed page allocations/sec,counter,AccessMethods_Mixedpageallocations_over_sec
Access Methods,Page compression attempts/sec,counter,AccessMethods_Pagecompressionattempts_over_sec
Access Methods,Page Deallocations/sec,counter,AccessMethods_PageDeallocations_over_sec
Access Methods,Page Splits/sec,counter,AccessMethods_PageSplits_over_sec
Access Methods,Pages Allocated/sec,counter,AccessMethods_PagesAllocated_over_sec
Access Methods,Pages compressed/sec,counter,AccessMethods_Pagescompressed_over_sec
Access Methods,Probe Scans/sec,counter,AccessMethods_ProbeScans_over_sec
Access Methods,Range Scans/sec,counter,AccessMethods_RangeScans_over_sec
Access Methods,Scan Point Revalidations/sec,counter,AccessMethods_ScanPointRevalidations_over_sec
Access Methods,Skipped Ghosted Records/sec,counter,AccessMethods_SkippedGhostedRecords_over_sec
Access Methods,Table Lock Escalations/sec,counter,AccessMethods_TableLockEscalations_over_sec
Access Methods,Used leaf page cookie,gauge,AccessMethods_Usedleafpagecookie
Access Methods,Used tree page cookie,gauge,AccessMethods_Usedtreepagecookie
Access Methods,Workfiles Created/sec,counter,AccessMethods_WorkfilesCreated_over_sec
Access Methods,Worktables Created/sec,counter,AccessMethods_WorktablesCreated_over_sec
Access Methods,Worktables From Cache Base,gauge,AccessMethods_WorktablesFromCacheBase
Access Methods,Worktables From Cache Ratio,gauge,AccessMethods_WorktablesFromCacheRatio
Advanced Analytics,Predictions/sec,counter,AdvancedAnalytics_Predictions_over_sec
Availability Replica,Bytes Received from Replica/sec,counter,AvailabilityReplica_BytesReceivedfromReplica_over_sec
Availability Replica,Bytes Sent to Replica/sec,counter,AvailabilityReplica_BytesSenttoReplica_over_sec
Availability Replica,Bytes Sent to Transport/sec,counter,AvailabilityReplica_BytesSenttoTransport_over_sec
